Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff,PYds,PRYds
2018-09-16,Steelers,Chiefs,1,14:22,4,12,PIT 19,0-0,Jordan Berry punts 39 yards returned by De'Anthony Thomas for 31 yards (tackle by Cameron Sutton). De'Anthony Thomas fumbles (forced by Cameron Sutton) recovered by De'Anthony Thomas at PIT-22,7,-2.140,-4.910,-2.77,39,31
2018-09-06,Falcons,Eagles,3,0:34,4,6,ATL 30,6-10,Matthew Bosher punts 38 yards returned by id_0 for no gain,0,-1.370,3.450,4.82,38,
2018-09-09,Vikings,49ers,3,11:23,4,19,MIN 35,10-3,Matt Wile punts 47 yards muffed catch by Dante Pettis recovered by Ahkello Witherspoon and returned for no gain,0,-1.040,-0.040,1.00,47,
2018-09-09,Texans,Patriots,4,4:41,4,8,HTX 36,13-27,Trevor Daniel punts 47 yards returned by id_0 for no gain,0,-0.980,4.510,5.49,47,
2018-09-09,Jaguars,Giants,4,0:54,4,6,JAX 40,20-15,Logan Cooke punts 41 yards muffed catch by Kaelin Clay recovered by Donald Payne and returned for no gain,0,-0.720,4.170,4.89,41,
2018-09-09,Bills,Ravens,2,3:01,4,8,BUF 27,0-20,Corey Bojorquez punts 52 yards muffed catch by Janarion Grant ball out of bounds at BAL-15,0,-1.570,0.220,1.79,52,
2018-09-09,Chiefs,Chargers,4,10:35,4,6,KAN 27,31-20,Dustin Colquitt punts 59 yards returned by JJ Jones for no gain. JJ Jones fumbles (forced by De'Anthony Thomas) recovered by James Winchester at LAC-2,0,-1.570,6.740,8.31,59,
2018-09-13,Ravens,Bengals,1,13:37,4,10,RAV 25,0-0,Sam Koch punts 55 yards muffed catch by Darius Phillips recovered by Darius Phillips and returned for 16 yards (tackle by Javorius Allen),0,-1.700,-1.000,.70,55,16
2018-09-13,Bengals,Ravens,1,12:37,4,16,CIN 25,0-0,Kevin Huber punts 55 yards returned by Janarion Grant for 2 yards (tackle by Tony McRae). Janarion Grant fumbles (forced by Tony McRae) recovered by Tavon Young at BAL-18 (tackle by Vincent Rey),0,-1.700,-0.040,1.66,55,2
2018-09-16,Chargers,Bills,3,9:08,4,1,SDG 34,28-13,Drew Kaser punts 58 yards muffed catch by Marcus Murphy recovered by Taiwan Jones and returned for no gain. Penalty on Uchenna Nwosu: Unnecessary Roughness 15 yards,0,-1.110,-1.270,-0.16,58,
2018-09-16,Chargers,Bills,3,4:04,4,16,SDG 6,28-13,Drew Kaser punts 45 yards muffed catch by Marcus Murphy recovered by Marcus Murphy and returned for 6 yards (tackle by Adrian Phillips),0,-2.490,-2.790,-0.30,45,6
2018-09-16,Vikings,Packers,3,11:47,4,11,MIN 38,7-17,Matt Wile punts 52 yards muffed catch by Randall Cobb recovered by Randall Cobb and returned for no gain,0,-0.850,0.370,1.22,52,
2018-09-20,Browns,Jets,1,2:21,4,7,CLE 31,0-0,Britton Colquitt punts 3 yards muffed catch by Terrence Brooks ball out of bounds at CLE-28,0,-1.310,-3.710,-2.40,3,
2018-09-23,Texans,Giants,1,2:14,4,4,HTX 28,3-7,Trevor Daniel punts 57 yards muffed catch by Stacy Coley recovered by Stacy Coley and returned for no gain,0,-1.500,0.140,1.64,57,
2018-09-23,Dolphins,Raiders,4,12:33,4,5,MIA 39,14-17,Matt Haack punts 42 yards muffed catch by Jordy Nelson recovered by Jordy Nelson and returned for no gain,0,-0.780,0.060,.84,42,
2018-09-23,Colts,Eagles,1,5:43,4,8,CLT 9,0-7,Rigoberto Sanchez punts 53 yards muffed catch by Corey Clement recovered by Corey Clement and returned for no gain. Penalty on LaRoy Reynolds: Offensive Holding 10 yards,0,-2.490,-0.870,1.62,53,
2018-09-23,Colts,Eagles,3,1:26,4,6,CLT 29,13-13,Rigoberto Sanchez punts 51 yards muffed catch by Corey Clement recovered by Corey Clement and returned for no gain,0,-1.440,-0.150,1.29,51,
2018-09-23,Bills,Vikings,3,9:45,4,12,BUF 18,27-0,Corey Bojorquez punts 36 yards muffed catch by Mike Hughes recovered by Mike Hughes and returned for no gain. Penalty on Lafayette Pitts: Illegal Block Above the Waist 10 yards,-2,-2.240,-2.790,-0.55,36,
2018-09-06,Eagles,Falcons,1,9:20,4,4,PHI 8,0-0,Cameron Johnston punts 56 yards returned by Justin Hardy for 5 yards (tackle by Kamu Grugier-Hill). Penalty on Shelton Gibson: Unsportsmanlike Conduct 15 yards,,-2.490,-2.650,-0.16,56,5
2018-09-06,Eagles,Falcons,1,0:33,4,18,PHI 35,0-3,Cameron Johnston punts 65 yards touchback,,-1.040,-0.280,.76,65,
2018-09-06,Falcons,Eagles,2,14:18,4,19,ATL 11,3-0,Matthew Bosher punts 49 yards fair catch by Darren Sproles,,-2.490,-1.600,.89,49,
2018-09-06,Eagles,Falcons,2,1:30,4,8,PHI 31,3-6,Cameron Johnston punts 58 yards,,-1.310,0.370,1.68,58,
2018-09-06,Falcons,Eagles,2,0:44,4,8,ATL 26,6-3,Matthew Bosher punts 57 yards returned by Darren Sproles for 8 yards (tackle by Brian Poole). Penalty on LaRoy Reynolds: Unnecessary Roughness 12 yards,,-1.630,0.320,1.95,57,8
2018-09-06,Eagles,Falcons,3,12:33,4,9,PHI 42,3-6,Cameron Johnston punts 38 yards fair catch by Justin Hardy,,-0.590,-0.280,.31,38,
2018-09-06,Falcons,Eagles,3,10:22,4,16,ATL 26,6-3,Matthew Bosher punts 46 yards returned by Darren Sproles for 9 yards (tackle by Foyesade Oluokun),,-1.630,-1.400,.23,46,9
2018-09-06,Falcons,Eagles,3,2:44,4,10,ATL 40,6-10,Matthew Bosher punts 44 yards,,-0.720,0.140,.86,44,
2018-09-06,Eagles,Falcons,3,1:35,4,6,PHI 20,10-6,Cameron Johnston punts 50 yards returned by Justin Hardy for 6 yards (tackle by Wendell Smallwood). Penalty on Damontae Kazee: Illegal Block Above the Waist 10 yards,,-2.030,-0.670,1.36,50,6
2018-09-06,Eagles,Falcons,4,7:42,4,14,PHI 21,10-12,Cameron Johnston punts 46 yards out of bounds,,-1.960,-1.140,.82,46,
2018-09-06,Falcons,Eagles,4,5:04,4,14,ATL 29,12-10,Matthew Bosher punts 52 yards returned by Darren Sproles for 12 yards (tackle by Eric Saubert). Penalty on Eric Saubert: Face Mask (15 Yards) 15 yards,,-1.440,-1.990,-0.55,52,12
